req_id,dept_id,exam_year,subject_id,require_level
713,3092,114,5,
714,3102,114,0,前標
715,3102,114,1,前標
716,3102,114,2,均標
717,3102,114,3,前標
718,3102,114,4,
719,3102,114,5,
720,3112,114,0,均標
721,3112,114,1,均標
722,3112,114,2,均標
723,3112,114,3,
724,3112,114,4,
725,3112,114,5,
726,3122,114,0,均標
727,3122,114,1,均標
728,3122,114,2,
729,3122,114,3,均標
730,3122,114,4,前標
731,3122,114,5,
732,3132,114,0,
733,3132,114,1,均標
734,3132,114,2,均標
735,3132,114,3,
736,3132,114,4,
737,3132,114,5,均標
738,3142,114,0,
739,3142,114,1,均標
740,3142,114,2,均標
741,3142,114,3,
742,3142,114,4,
743,3142,114,5,均標
744,3152,114,0,
745,3152,114,1,均標
746,3152,114,2,均標
747,3152,114,3,
748,3152,114,4,
749,3152,114,5,均標
750,3162,114,0,
751,3162,114,1,
752,3162,114,2,均標
753,3162,114,3,
754,3162,114,4,
755,3162,114,5,
756,3172,114,0,
757,3172,114,1,
758,3172,114,2,均標
759,3172,114,3,
760,3172,114,4,
761,3172,114,5,
762,3182,114,0,
763,3182,114,1,
764,3182,114,2,均標
765,3182,114,3,
766,3182,114,4,
767,3182,114,5,
768,3192,114,0,
769,3192,114,1,均標
770,3192,114,2,均標
771,3192,114,3,
772,3192,114,4,
773,3192,114,5,均標
774,3202,114,0,
775,3202,114,1,均標
776,3202,114,2,均標
777,3202,114,3,
778,3202,114,4,
779,3202,114,5,均標
780,3212,114,0,
781,3212,114,1,均標
782,3212,114,2,均標
783,3212,114,3,
784,3212,114,4,
785,3212,114,5,均標
786,3222,114,0,
787,3222,114,1,均標
788,3222,114,2,均標
789,3222,114,3,
790,3222,114,4,
791,3222,114,5,均標
792,3232,114,0,
793,3232,114,1,均標
794,3232,114,2,均標
795,3232,114,3,
796,3232,114,4,
797,3232,114,5,均標
798,3242,114,0,
799,3242,114,1,均標
800,3242,114,2,均標
801,3242,114,3,
802,3242,114,4,
803,3242,114,5,均標
804,3252,114,0,
805,3252,114,1,
806,3252,114,2,均標
807,3252,114,3,
808,3252,114,4,
809,3252,114,5,均標
810,3262,114,0,均標
811,3262,114,1,均標
812,3262,114,2,均標
813,3262,114,3,
814,3262,114,4,
815,3262,114,5,
816,3292,114,0,
817,3292,114,1,均標
818,3292,114,2,均標
819,3292,114,3,
820,3292,114,4,
821,3292,114,5,均標
822,3302,114,0,
823,3302,114,1,均標
824,3302,114,2,均標
825,3302,114,3,
826,3302,114,4,
827,3302,114,5,均標
828,3312,114,0,
829,3312,114,1,均標
830,3312,114,2,均標
831,3312,114,3,
832,3312,114,4,
833,3312,114,5,均標
834,3322,114,0,均標
835,3322,114,1,均標
836,3322,114,2,均標
837,3322,114,3,均標
838,3322,114,4,
839,3322,114,5,均標
840,3332,114,0,均標
841,3332,114,1,均標
842,3332,114,2,均標
843,3332,114,3,均標
844,3332,114,4,
845,3332,114,5,均標
846,3342,114,0,均標
847,3342,114,1,均標
848,3342,114,2,
849,3342,114,3,均標
850,3342,114,4,
851,3342,114,5,均標
852,3352,114,0,均標
853,3352,114,1,均標
854,3352,114,2,
855,3352,114,3,均標
856,3352,114,4,
857,3352,114,5,均標
858,3362,114,0,均標
859,3362,114,1,均標
860,3362,114,2,
861,3362,114,3,均標
862,3362,114,4,
863,3362,114,5,均標
864,3372,114,0,均標
865,3372,114,1,均標
866,3372,114,2,
867,3372,114,3,
868,3372,114,4,
869,3372,114,5,均標
870,3382,114,0,均標
871,3382,114,1,均標
872,3382,114,2,均標
873,3382,114,3,均標
874,3382,114,4,
875,3382,114,5,均標
876,3392,114,0,均標
877,3392,114,1,均標
878,3392,114,2,均標
879,3392,114,3,
880,3392,114,4,
881,3392,114,5,均標
882,3402,114,0,
883,3402,114,1,均標
884,3402,114,2,均標
885,3402,114,3,均標
886,3402,114,4,
887,3402,114,5,均標
888,3412,114,0,均標
889,3412,114,1,均標
890,3412,114,2,均標
891,3412,114,3,均標
892,3412,114,4,
893,3412,114,5,前標
894,3422,114,0,均標
895,3422,114,1,均標
896,3422,114,2,均標
897,3422,114,3,均標
898,3422,114,4,
899,3422,114,5,
900,3432,114,0,
901,3432,114,1,前標
902,3432,114,2,均標
903,3432,114,3,均標
904,3432,114,4,
905,3432,114,5,均標
906,3442,114,0,
907,3442,114,1,均標
908,3442,114,2,
909,3442,114,3,
910,3442,114,4,
911,3442,114,5,前標
912,3452,114,0,均標
913,3452,114,1,前標
914,3452,114,2,均標
915,3452,114,3,
916,3452,114,4,
917,3452,114,5,均標
918,3462,114,0,均標
919,3462,114,1,均標
920,3462,114,2,均標
921,3462,114,3,均標
922,3462,114,4,
923,3462,114,5,
924,3472,114,0,均標
925,3472,114,1,均標
926,3472,114,2,
927,3472,114,3,
928,3472,114,4,均標
929,3472,114,5,
930,3482,114,0,
931,3482,114,1,均標
932,3482,114,2,均標
933,3482,114,3,
934,3482,114,4,
935,3482,114,5,均標
936,3492,114,0,
937,3492,114,1,均標
938,3492,114,2,均標
939,3492,114,3,
940,3492,114,4,
941,3492,114,5,均標
942,3502,114,0,
943,3502,114,1,均標
944,3502,114,2,均標
945,3502,114,3,均標
946,3502,114,4,
947,3502,114,5,均標
948,3512,114,0,
949,3512,114,1,均標
950,3512,114,2,均標
951,3512,114,3,
952,3512,114,4,
953,3512,114,5,均標
954,4012,114,0,頂標
955,4012,114,1,均標
956,4012,114,2,
957,4012,114,3,
958,4012,114,4,前標
959,4012,114,5,
960,4022,114,0,前標
961,4022,114,1,頂標
962,4022,114,2,
963,4022,114,3,
964,4022,114,4,均標
965,4022,114,5,
966,4032,114,0,前標
967,4032,114,1,前標
968,4032,114,2,
969,4032,114,3,
970,4032,114,4,前標
971,4032,114,5,
972,4042,114,0,前標
973,4042,114,1,前標
974,4042,114,2,
975,4042,114,3,均標
976,4042,114,4,前標
977,4042,114,5,
978,4052,114,0,
979,4052,114,1,均標
980,4052,114,2,前標
981,4052,114,3,
982,4052,114,4,
983,4052,114,5,均標
984,4062,114,0,均標
985,4062,114,1,均標
986,4062,114,2,均標
987,4062,114,3,
988,4062,114,4,
989,4062,114,5,均標
990,4072,114,0,
991,4072,114,1,前標
992,4072,114,2,前標
993,4072,114,3,
994,4072,114,4,
995,4072,114,5,前標
996,4082,114,0,
997,4082,114,1,均標
998,4082,114,2,均標
999,4082,114,3,
1000,4082,114,4,
1001,4082,114,5,均標
1002,4092,114,0,均標
1003,4092,114,1,均標
1004,4092,114,2,前標
1005,4092,114,3,
1006,4092,114,4,
1007,4092,114,5,前標
1008,4102,114,0,均標
1009,4102,114,1,均標
1010,4102,114,2,前標
1011,4102,114,3,
1012,4102,114,4,
1013,4102,114,5,前標
1014,4112,114,0,均標
1015,4112,114,1,頂標
1016,4112,114,2,前標
1017,4112,114,3,
1018,4112,114,4,
1019,4112,114,5,前標
1020,4122,114,0,
1021,4122,114,1,前標
1022,4122,114,2,前標
1023,4122,114,3,
1024,4122,114,4,
1025,4122,114,5,前標
1026,4132,114,0,
1027,4132,114,1,前標
1028,4132,114,2,前標
1029,4132,114,3,
1030,4132,114,4,
1031,4132,114,5,前標
1032,4142,114,0,均標
1033,4142,114,1,均標
1034,4142,114,2,均標
1035,4142,114,3,
1036,4142,114,4,
1037,4142,114,5,均標
1038,4152,114,0,均標
