dept_id,univ_id,department,學群,學類,category_id
004502,004,資訊工程學系(智慧系統組),資訊學群,資訊工程學類,0101
004512,004,資訊工程學系(普渡雙聯組),資訊學群,資訊工程學類,0101
004522,004,建築學系,建築與設計學群,建築學類,0802
004532,004,都市計劃學系,建築與設計學群,都市計畫學類,0803
004542,004,工業設計學系,建築與設計學群,工業設計學類,0805
004552,004,生命科學系,生命科學學群,生命科學學類,0504
004562,004,生物科技與產業科學系,生命科學學群,生物科技學類,0505
004572,004,生物科技與產業科學系(青年儲蓄帳戶組),生命科學學群,生物科技學類,0505
004582,004,生物科技與產業科學系(APCS組),生命科學學群,生物科技學類,0505
004592,004,全校不分系學士學位學程,不分系學群,不分系學類,1901
004602,004,全校不分系學士學位學程(運動科學組),不分系學群,不分系學類,1901
004612,004,成星招生甲組(文社),不分系學群,不分系學類,1901
004622,004,成星招生乙組(管理),不分系學群,不分系學類,1901
004632,004,成星招生丙組(理),不分系學群,不分系學類,1901
004642,004,成星招生丁組(工),不分系學群,不分系學類,1901
004652,004,成星招生戊組(生醫),不分系學群,不分系學類,1901
005012,005,中國文學系,文史哲學群,中國語文學類,1304
005022,005,歷史學系,文史哲學群,歷史學類,1305
005032,005,哲學系,文史哲學群,哲學學類,1306
005042,005,政治學系,法政學群,政治學類,1504
005052,005,社會學系,社會與心理學群,社會學學類,1002
005062,005,社會工作學系,社會與心理學群,社會工作學類,1003
005072,005,英文學系,外語學群,英語文學類,1201
005082,005,日本語文學系,外語學群,日語文學類,1203
005092,005,德國文化學系,外語學群,歐語文學類,1202
005102,005,數學系,數理化學群,數學學類,0301
005112,005,物理學系,數理化學群,物理學類,0303
005122,005,化學系,數理化學群,化學學類,0302
005132,005,微生物學系,生命科學學群,生命科學學類,0504
005142,005,心理學系,社會與心理學群,心理學類,1001
005152,005,法律學系,法政學群,法律學類,1502
005162,005,經濟學系,財經學群,經濟學類,1707
005172,005,會計學系,財經學群,會計學類,1702
005182,005,企業管理學系,管理學群,企業管理學類,1608
005192,005,國際經營與貿易學系,財經學群,國際企業學類,1704
005202,005,財務工程與精算數學系,財經學群,財務金融學類,1703
005212,005,資訊管理學系(資訊管理組),管理學群,資訊管理學類,1601
005222,005,資訊管理學系(人工智慧組),管理學群,資訊管理學類,1601
005232,005,資訊管理學系(APCS組),管理學群,資訊管理學類,1601
005242,005,資料科學系,數理化學群,統計學類,0307
005252,005,音樂學系,藝術學群,音樂學類,0902
006012,006,中國文學系,文史哲學群,中國語文學類,1304
006022,006,歷史學系,文史哲學群,歷史學類,1305
006032,006,哲學系,文史哲學群,哲學學類,1306
006042,006,教育學系,教育學群,教育學類,1407
