req_id,dept_id,exam_year,subject_id,require_level
575,002232,115,5,
576,002242,115,0,
577,002242,115,1,
578,002242,115,2,
579,002242,115,3,
580,002242,115,4,
581,002242,115,5,
582,002252,115,0,
583,002252,115,1,
584,002252,115,2,
585,002252,115,3,
586,002252,115,4,
587,002252,115,5,
588,002262,115,0,
589,002262,115,1,
590,002262,115,2,
591,002262,115,3,
592,002262,115,4,
593,002262,115,5,
594,002272,115,0,
595,002272,115,1,
596,002272,115,2,
597,002272,115,3,
598,002272,115,4,
599,002272,115,5,
600,002282,115,0,
601,002282,115,1,
602,002282,115,2,
603,002282,115,3,
604,002282,115,4,
605,002282,115,5,
606,002292,115,0,
607,002292,115,1,
608,002292,115,2,
609,002292,115,3,
610,002292,115,4,
611,002292,115,5,
612,002302,115,0,均標
613,002302,115,1,均標
614,002302,115,2,均標
615,002302,115,3,
616,002302,115,4,
617,002302,115,5,
618,002312,115,0,均標
619,002312,115,1,均標
620,002312,115,2,
621,002312,115,3,
622,002312,115,4,
623,002312,115,5,均標
624,002322,115,0,
625,002322,115,1,
626,002322,115,2,均標
627,002322,115,3,
628,002322,115,4,
629,002322,115,5,均標
630,002332,115,0,均標
631,002332,115,1,均標
632,002332,115,2,前標
633,002332,115,3,
634,002332,115,4,
635,002332,115,5,前標
636,002342,115,0,均標
637,002342,115,1,均標
638,002342,115,2,前標
639,002342,115,3,
640,002342,115,4,
641,002342,115,5,
642,002352,115,0,均標
643,002352,115,1,均標
644,002352,115,2,前標
645,002352,115,3,
646,002352,115,4,
647,002352,115,5,
648,002362,115,0,
649,002362,115,1,均標
650,002362,115,2,
651,002362,115,3,
652,002362,115,4,
653,002362,115,5,均標
654,002372,115,0,
655,002372,115,1,
656,002372,115,2,
657,002372,115,3,
658,002372,115,4,
659,002372,115,5,
660,002382,115,0,均標
661,002382,115,1,均標
662,002382,115,2,均標
663,002382,115,3,
664,002382,115,4,
665,002382,115,5,
666,002392,115,0,均標
667,002392,115,1,均標
668,002392,115,2,前標
669,002392,115,3,
670,002392,115,4,
671,002392,115,5,均標
672,002402,115,0,均標
673,002402,115,1,前標
674,002402,115,2,前標
675,002402,115,3,
676,002402,115,4,
677,002402,115,5,前標
678,002412,115,0,均標
679,002412,115,1,前標
680,002412,115,2,前標
681,002412,115,3,
682,002412,115,4,
683,002412,115,5,前標
684,002422,115,0,
685,002422,115,1,
686,002422,115,2,
687,002422,115,3,
688,002422,115,4,
689,002422,115,5,
690,002432,115,0,均標
691,002432,115,1,均標
692,002432,115,2,
693,002432,115,3,
694,002432,115,4,
695,002432,115,5,
696,002442,115,0,均標
697,002442,115,1,前標
698,002442,115,2,
699,002442,115,3,均標
700,002442,115,4,均標
701,002442,115,5,
702,002452,115,0,均標
703,002452,115,1,均標
704,002452,115,2,均標
705,002452,115,3,前標
706,002452,115,4,
707,002452,115,5,
708,002462,115,0,均標
709,002462,115,1,均標
710,002462,115,2,
711,002462,115,3,均標
712,002462,115,4,
713,002462,115,5,
714,002472,115,0,後標
715,002472,115,1,均標
716,002472,115,2,均標
717,002472,115,3,
718,002472,115,4,
719,002472,115,5,
720,002482,115,0,均標
721,002482,115,1,均標
722,002482,115,2,後標
723,002482,115,3,後標
724,002482,115,4,
725,002482,115,5,
726,002492,115,0,後標
727,002492,115,1,後標
728,002492,115,2,均標
729,002492,115,3,
730,002492,115,4,
731,002492,115,5,均標
732,002502,115,0,均標
733,002502,115,1,均標
734,002502,115,2,均標
735,002502,115,3,前標
736,002502,115,4,
737,002502,115,5,
738,002512,115,0,均標
739,002512,115,1,底標
740,002512,115,2,
741,002512,115,3,
742,002512,115,4,
743,002512,115,5,
744,002522,115,0,均標
745,002522,115,1,後標
746,002522,115,2,
747,002522,115,3,
748,002522,115,4,
749,002522,115,5,
750,002532,115,0,後標
751,002532,115,1,後標
752,002532,115,2,
753,002532,115,3,
754,002532,115,4,
755,002532,115,5,
756,002542,115,0,均標
757,002542,115,1,均標
758,002542,115,2,
759,002542,115,3,
760,002542,115,4,
761,002542,115,5,
762,002552,115,0,
763,002552,115,1,
764,002552,115,2,
765,002552,115,3,
766,002552,115,4,
767,002552,115,5,
768,002562,115,0,
769,002562,115,1,後標
770,002562,115,2,
771,002562,115,3,
772,002562,115,4,
773,002562,115,5,
774,002572,115,0,
775,002572,115,1,後標
776,002572,115,2,
777,002572,115,3,
778,002572,115,4,
779,002572,115,5,
780,002582,115,0,均標
781,002582,115,1,後標
782,002582,115,2,
783,002582,115,3,
784,002582,115,4,後標
785,002582,115,5,後標
786,003012,115,0,均標
787,003012,115,1,均標
788,003012,115,2,
789,003012,115,3,
790,003012,115,4,
791,003012,115,5,
792,003022,115,0,均標
793,003022,115,1,前標
794,003022,115,2,
795,003022,115,3,
796,003022,115,4,均標
797,003022,115,5,
798,003032,115,0,均標
799,003032,115,1,均標
800,003032,115,2,
801,003032,115,3,
802,003032,115,4,前標
803,003032,115,5,
804,003042,115,0,均標
805,003042,115,1,均標
806,003042,115,2,
807,003042,115,3,
808,003042,115,4,均標
809,003042,115,5,
810,003052,115,0,均標
811,003052,115,1,前標
812,003052,115,2,均標
813,003052,115,3,
814,003052,115,4,
815,003052,115,5,
816,003062,115,0,
817,003062,115,1,前標
818,003062,115,2,均標
819,003062,115,3,前標
820,003062,115,4,
821,003062,115,5,
822,003072,115,0,均標
823,003072,115,1,前標
824,003072,115,2,前標
825,003072,115,3,
826,003072,115,4,
827,003072,115,5,均標
828,003082,115,0,均標
829,003082,115,1,前標
830,003082,115,2,前標
831,003082,115,3,
832,003082,115,4,
833,003082,115,5,均標
834,003092,115,0,均標
835,003092,115,1,均標
836,003092,115,2,均標
837,003092,115,3,
838,003092,115,4,均標
839,003092,115,5,
840,003102,115,0,前標
841,003102,115,1,前標
842,003102,115,2,均標
843,003102,115,3,前標
844,003102,115,4,
845,003102,115,5,
846,003112,115,0,均標
847,003112,115,1,均標
848,003112,115,2,均標
849,003112,115,3,
850,003112,115,4,
851,003112,115,5,
852,003122,115,0,均標
853,003122,115,1,均標
854,003122,115,2,
855,003122,115,3,均標
856,003122,115,4,前標
857,003122,115,5,
858,003132,115,0,
859,003132,115,1,均標
860,003132,115,2,均標
861,003132,115,3,
862,003132,115,4,
863,003132,115,5,均標
864,003142,115,0,
865,003142,115,1,
866,003142,115,2,
867,003142,115,3,
868,003142,115,4,
869,003142,115,5,
870,003152,115,0,
871,003152,115,1,
872,003152,115,2,
873,003152,115,3,
874,003152,115,4,
875,003152,115,5,
876,003162,115,0,
877,003162,115,1,
878,003162,115,2,均標
879,003162,115,3,
880,003162,115,4,
881,003162,115,5,
882,003172,115,0,
883,003172,115,1,
884,003172,115,2,均標
885,003172,115,3,
886,003172,115,4,
887,003172,115,5,
888,003182,115,0,
889,003182,115,1,
890,003182,115,2,均標
891,003182,115,3,
892,003182,115,4,
893,003182,115,5,
894,003192,115,0,
895,003192,115,1,均標
896,003192,115,2,均標
897,003192,115,3,
898,003192,115,4,
899,003192,115,5,均標
900,003202,115,0,
901,003202,115,1,
902,003202,115,2,
903,003202,115,3,
904,003202,115,4,
905,003202,115,5,
906,003212,115,0,
907,003212,115,1,均標
908,003212,115,2,均標
909,003212,115,3,
910,003212,115,4,
911,003212,115,5,均標
912,003222,115,0,
913,003222,115,1,均標
914,003222,115,2,均標
915,003222,115,3,
916,003222,115,4,
917,003222,115,5,均標
918,003232,115,0,
919,003232,115,1,均標
920,003232,115,2,均標
921,003232,115,3,
922,003232,115,4,
923,003232,115,5,均標
924,003242,115,0,
925,003242,115,1,
926,003242,115,2,
927,003242,115,3,
928,003242,115,4,
929,003242,115,5,
930,003252,115,0,
931,003252,115,1,
932,003252,115,2,
933,003252,115,3,
934,003252,115,4,
935,003252,115,5,
936,003262,115,0,均標
937,003262,115,1,均標
938,003262,115,2,均標
939,003262,115,3,
940,003262,115,4,
941,003262,115,5,
942,003272,115,0,均標
943,003272,115,1,均標
944,003272,115,2,均標
945,003272,115,3,
946,003272,115,4,
947,003272,115,5,
948,003282,115,0,均標
949,003282,115,1,均標
950,003282,115,2,均標
951,003282,115,3,
952,003282,115,4,
953,003282,115,5,
954,003292,115,0,
955,003292,115,1,
956,003292,115,2,
957,003292,115,3,
958,003292,115,4,
959,003292,115,5,
960,003302,115,0,
961,003302,115,1,
962,003302,115,2,
963,003302,115,3,
964,003302,115,4,
965,003302,115,5,
966,003312,115,0,
967,003312,115,1,均標
968,003312,115,2,均標
969,003312,115,3,
970,003312,115,4,
971,003312,115,5,均標
972,003322,115,0,均標
973,003322,115,1,均標
974,003322,115,2,均標
975,003322,115,3,均標
976,003322,115,4,
977,003322,115,5,均標
978,003332,115,0,均標
979,003332,115,1,均標
980,003332,115,2,均標
981,003332,115,3,均標
982,003332,115,4,
983,003332,115,5,均標
984,003342,115,0,均標
985,003342,115,1,均標
986,003342,115,2,
987,003342,115,3,均標
988,003342,115,4,
989,003342,115,5,均標
990,003352,115,0,均標
991,003352,115,1,均標
992,003352,115,2,
993,003352,115,3,均標
994,003352,115,4,
995,003352,115,5,均標
996,003362,115,0,均標
997,003362,115,1,均標
998,003362,115,2,
999,003362,115,3,均標
1000,003362,115,4,
1001,003362,115,5,均標
1002,003372,115,0,均標
1003,003372,115,1,均標
1004,003372,115,2,
1005,003372,115,3,
1006,003372,115,4,
1007,003372,115,5,均標
1008,003382,115,0,均標
1009,003382,115,1,均標
1010,003382,115,2,均標
1011,003382,115,3,均標
1012,003382,115,4,
1013,003382,115,5,前標
1014,003392,115,0,均標
1015,003392,115,1,均標
1016,003392,115,2,均標
1017,003392,115,3,
1018,003392,115,4,
1019,003392,115,5,均標
1020,003402,115,0,
1021,003402,115,1,
1022,003402,115,2,
1023,003402,115,3,
1024,003402,115,4,
1025,003402,115,5,
1026,003412,115,0,均標
1027,003412,115,1,均標
1028,003412,115,2,均標
1029,003412,115,3,均標
1030,003412,115,4,
1031,003412,115,5,前標
1032,003422,115,0,均標
1033,003422,115,1,均標
1034,003422,115,2,均標
1035,003422,115,3,均標
1036,003422,115,4,
1037,003422,115,5,
1038,003432,115,0,
1039,003432,115,1,
1040,003432,115,2,
1041,003432,115,3,
1042,003432,115,4,
1043,003432,115,5,
1044,003442,115,0,
1045,003442,115,1,
1046,003442,115,2,
1047,003442,115,3,
1048,003442,115,4,
1049,003442,115,5,
1050,003452,115,0,均標
1051,003452,115,1,前標
1052,003452,115,2,均標
1053,003452,115,3,
1054,003452,115,4,
1055,003452,115,5,均標
1056,003462,115,0,均標
1057,003462,115,1,均標
1058,003462,115,2,均標
1059,003462,115,3,均標
1060,003462,115,4,
1061,003462,115,5,
1062,003472,115,0,均標
1063,003472,115,1,均標
1064,003472,115,2,
1065,003472,115,3,
1066,003472,115,4,均標
1067,003472,115,5,
1068,003482,115,0,
1069,003482,115,1,
1070,003482,115,2,
1071,003482,115,3,
1072,003482,115,4,
1073,003482,115,5,
1074,003492,115,0,
1075,003492,115,1,
1076,003492,115,2,
1077,003492,115,3,
1078,003492,115,4,
1079,003492,115,5,
1080,003502,115,0,
1081,003502,115,1,
1082,003502,115,2,
1083,003502,115,3,
1084,003502,115,4,
1085,003502,115,5,
1086,003512,115,0,
1087,003512,115,1,
1088,003512,115,2,
1089,003512,115,3,
1090,003512,115,4,
1091,003512,115,5,
1092,004012,115,0,頂標
1093,004012,115,1,均標
1094,004012,115,2,
1095,004012,115,3,
1096,004012,115,4,前標
1097,004012,115,5,
1098,004022,115,0,前標
1099,004022,115,1,頂標
1100,004022,115,2,
1101,004022,115,3,
1102,004022,115,4,均標
1103,004022,115,5,
1104,004032,115,0,前標
1105,004032,115,1,前標
1106,004032,115,2,
1107,004032,115,3,
1108,004032,115,4,前標
1109,004032,115,5,
