dept_id,univ_id,department
015042,015,工業工程與系統管理學系B組
015052,015,化學工程學系
015062,015,航太與系統工程學系
015072,015,精密系統設計學士學位學程
015082,015,應用數學系A組
015092,015,應用數學系B組
015102,015,材料科學與工程學系
015112,015,環境工程與科學學系
015122,015,光電科學與工程學系
015132,015,會計學系
015142,015,國際經營與貿易學系
015152,015,國際企業管理全英語學士學位學程
015162,015,財稅學系
015172,015,合作經濟暨社會事業經營學系
015182,015,統計學系商業大數據組
015192,015,統計學系大數據分析與市場決策組
015202,015,經濟學系
015212,015,企業管理學系
015222,015,行銷學系
015232,015,中國文學系
015242,015,外國語文學系
015252,015,資訊工程學系
015262,015,資訊工程學系(APCS組)
015272,015,資訊工程學系(資安組)
015282,015,電子工程學系
015292,015,電機工程學系
015302,015,自動控制工程學系
015312,015,資訊電機學院學士班
015322,015,通訊工程學系
015332,015,土木工程學系
015342,015,水利工程與資源保育學系
015352,015,都市計畫與空間資訊學系
015362,015,運輸與物流學系
015372,015,土地管理學系
015382,015,財務金融學系
015392,015,風險管理與保險學系
015402,015,財務工程與精算學士學位學程
015412,015,金融學院學士班
015422,015,室內設計學士學位學程
015432,015,建築專業學院學士班
015442,015,澳洲墨爾本皇家理工大學商學與創新雙學士學位學程
015452,015,澳洲昆士蘭大學商學雙學士學位學程
015462,015,澳洲新南威爾斯大學設計雙學士學位學程
015472,015,澳洲昆士蘭大學電機工程雙學士學位學程
015482,015,澳洲蒙納許大學資訊工程雙學士學位學程
015492,015,美國加州聖荷西州立大學商學大數據分析雙學士學位學程
015502,015,美國加州聖荷西州立大學電機工程雙學士學位學程
015512,015,美國加州舊金山州立大學資訊工程雙學士學位學程
015522,015,人工智慧技術與應用學士學位學程
016012,016,中國文學系
016022,016,英美語文學系
016032,016,法國語文學系
016042,016,文學院學士班
016052,016,數學系數學科學組
016062,016,數學系計算與資料科學組
016072,016,物理學系
016082,016,化學學系
016092,016,光電科學與工程學系
016102,016,理學院學士班
016112,016,土木工程學系
016122,016,機械工程學系先進材料與精密製造組
016132,016,機械工程學系光機電工程組
016142,016,機械工程學系設計與分析組
016152,016,化學工程與材料工程學系
016162,016,工學院學士班
016172,016,企業管理學系
016182,016,資訊管理學系
016192,016,資訊管理學系(APCS組)
016202,016,經濟學系
016212,016,財務金融學系
016222,016,電機工程學系
016232,016,資訊工程學系
016242,016,資訊工程學系(APCS組)
016252,016,資訊工程學系(資安組)
016262,016,通訊工程學系
016272,016,資訊電機學院學士班
016282,016,大氣科學學系
016292,016,太空科學與工程學系
016302,016,地球科學學系
016312,016,地球科學學院學士班
016322,016,客家語文暨社會科學學系客家語文及傳播組
016332,016,客家語文暨社會科學學系客家社會及政策組
016342,016,生命科學系
016352,016,生醫科學與工程學系
016362,016,向日葵聯合招生甲組(電資)
016372,016,向日葵聯合招生乙組(商管)
016382,016,向日葵聯合招生丙組(理學)
016392,016,向日葵聯合招生丁組(工程)
016402,016,向日葵聯合招生戊組(人社)
017012,017,哲學系
017022,017,中國文學系
017032,017,史學系
017042,017,日本語文學系
017052,017,韓國語文學系
017062,017,歐美語文學系
017072,017,全球商務學士學位學程
017082,017,應用數學系
017092,017,光電物理學系
017102,017,化學系
017112,017,地理學系
017122,017,大氣與地質科學系
017132,017,生命科學系
017142,017,法律學系
017152,017,政治學系
017162,017,經濟學系
017172,017,勞動暨人力資源學系
017182,017,社會福利學系
017192,017,行政管理學系
017202,017,園藝暨生物技術學系
017212,017,動物科學系
017222,017,森林暨自然保育學系
017232,017,土地資源學系
017242,017,生活應用科學系
017252,017,保健營養學系
017262,017,化學工程與材料工程學系
017272,017,電機工程學系
017282,017,機械工程學系
017292,017,紡織科技創新與應用工程學系
017302,017,資訊工程學系
017312,017,國際貿易學系
017322,017,國際企業管理學系
017332,017,會計學系
017342,017,觀光事業學系
017352,017,資訊管理學系(智慧商務科技組)
017362,017,資訊管理學系(人工智慧組)
017372,017,財務金融學系金融行銷組
017382,017,財務金融學系財務金融組
017392,017,財務金融學系數位金融組
017402,017,行銷學士學位學程
017412,017,新聞學系
017422,017,廣告學系
017432,017,資訊傳播學系
017442,017,大眾傳播學系
017452,017,都市計劃與開發管理學系
017462,017,建築及都市設計學系
017472,017,景觀學系
017482,017,教育與學習科技學系
017492,017,心理輔導學系
017502,017,戲劇學系
017512,017,中國戲劇學系
017522,017,音樂學系(西樂A組)
017532,017,音樂學系(西樂B組)
017542,017,音樂學系(國樂組)
017552,017,美術學系
018012,018,英國語文學系
018022,018,西班牙語文學系
018032,018,日本語文學系
018042,018,中國文學系
018052,018,社會工作與兒童少年福利學系
018062,018,台灣文學系
018072,018,法律學系
018082,018,生態人文學系
018092,018,大眾傳播學系
018102,018,財務工程學系
018112,018,應用化學系
018122,018,食品營養學系
018132,018,化粧品科學系
018142,018,資料科學暨大數據分析與應用學系
018152,018,永續環境與智慧科技學士學位學程
018162,018,行銷與數位經營管理學系
018172,018,國際企業學系
018182,018,會計學系
018192,018,觀光事業學系
018202,018,財務金融學系
018212,018,資訊管理學系(人工智慧應用組)
018222,018,資訊管理學系(智慧商務與大數據應用組)
018232,018,資訊管理學系(APCS組)
018242,018,資訊管理學系(資安組)
018252,018,資訊工程學系
018262,018,資訊工程學系(APCS組)
018272,018,資訊工程學系(資安組)
018282,018,人工智慧應用學系
018292,018,人工智慧應用學系(APCS組)
018302,018,人工智慧應用學系(資安組)
018312,018,晶片設計學士學位學程
018322,018,寰宇管理學士學位學程
018332,018,寰宇外語教育學士學位學程
018342,018,智慧媒體與創新科技應用學士學位學程
019012,019,機械與材料工程學系
019022,019,化學工程與生物科技學系
019032,019,工程學院學士班
019042,019,電機工程學系
019052,019,資訊工程學系
019062,019,事業與資訊經營學系
019072,019,應用外語學系
019082,019,工業設計學系
019092,019,數位媒體設計學系互動媒體設計組
019102,019,數位媒體設計學系數位遊戲設計組
019112,019,電機工程學系(青年儲蓄帳戶組)
020012,020,中國文學系
020022,020,歷史學系
020032,020,哲學系
020042,020,人文與社區創新學士學位學程
020052,020,景觀設計學系
020062,020,景觀設計學系(青年儲蓄帳戶組)
020072,020,影像傳播學系
020082,020,新聞傳播學系
020092,020,廣告傳播學系
020102,020,圖書資訊學系
020112,020,教育領導與科技發展學士學位學程
020122,020,護理學系
020132,020,公共衛生學系
020142,020,公共衛生學系(青年儲蓄帳戶組)
020152,020,醫學系
020162,020,醫學系(公費生)
020172,020,臨床心理學系
020182,020,職能治療學系
020192,020,呼吸治療學系
020202,020,數學系資訊數學組
020212,020,數學系應用數學組
020222,020,化學系
020232,020,資訊工程學系
020242,020,資訊工程學系(APCS組)
020252,020,生命科學系
020262,020,生命科學系(青年儲蓄帳戶組)
020272,020,物理學系電子物理組
020282,020,物理學系光電物理組
020292,020,電機工程學系
020302,020,電機工程學系(APCS組)
020312,020,醫學資訊與創新應用學士學位學程
020322,020,醫學資訊與創新應用學士學位學程(資安組)
020332,020,人工智慧與資訊安全學士學位學程
020342,020,人工智慧與資訊安全學士學位學程(資安組)
020352,020,英國語文學系
020362,020,法國語文學系
020372,020,西班牙語文學系
020382,020,日本語文學系
020392,020,義大利語文學系
020402,020,德語語文學系
020412,020,國際溝通與科技創新學士學位學程
020422,020,織品服裝學系織品設計組
020432,020,織品服裝學系服飾設計組
020442,020,織品服裝學系織品服飾行銷組
020452,020,餐旅管理學系
020462,020,兒童與家庭學系
020472,020,食品科學系
020482,020,營養科學系
020492,020,法律學系
020502,020,財經法律學系
020512,020,企業管理學系
020522,020,會計學系
020532,020,資訊管理學系
020542,020,資訊管理學系(APCS組)
020552,020,統計資訊學系
020562,020,金融與國際企業學系
020572,020,社會學系
020582,020,社會工作學系
020592,020,經濟學系
020602,020,宗教學系
020612,020,心理學系
020622,020,天主教研修學士學位學程
020632,020,音樂學系應用音樂組
020642,020,音樂學系器樂組
020652,020,音樂學系爵士音樂組
020662,020,應用美術學系
020672,020,體育學系體育學組
020682,020,體育學系運動健康管理組
021012,021,商船學系
021022,021,航運管理學系
021032,021,運輸科學系A組
021042,021,運輸科學系B組
021052,021,輪機工程學系
021062,021,食品科學系
021072,021,水產養殖學系
021082,021,生命科學暨生物科技學系
021092,021,系統工程暨造船學系
021102,021,河海工程學系
021112,021,機械與機電工程學系
021122,021,海洋環境資訊系
021132,021,環境生物與漁業科學學系
021142,021,電機工程學系
021152,021,電機工程學系(青年儲蓄帳戶組)
021162,021,資訊工程學系
021172,021,資訊工程學系(APCS組)
021182,021,資訊工程學系(資安組)
021192,021,通訊與導航工程學系
021202,021,光電與材料科技學系
021212,021,海洋觀光管理學士學位學程
021222,021,海洋觀光管理學士學位學程(青年儲蓄帳戶組)
021232,021,海洋法政學士學位學程
021242,021,海洋法政學士學位學程(青年儲蓄帳戶組)
021252,021,海洋文創設計產業學士學位學程
021262,021,海洋經營管理學士學位學程
