dept_id,univ_id,dept_name,category_id
009192,009,電機工程學系,0201
009202,009,企業管理學系,1608
009212,009,國際經營與貿易學系,1704
009222,009,會計學系,1702
009232,009,財務金融學系,1703
009242,009,統計學系(巨量資料管理組),0307
009252,009,統計學系(決策管理組),0307
009262,009,資訊管理學系,0107
009272,009,經濟學系,1707
009282,009,政治學系,1504
009292,009,行政管理暨政策學系,1505
009302,009,社會學系,1002
009312,009,社會工作學系,1003
009322,009,畜產與生物科技學系,0605
009332,009,食品科學系,0609
009342,009,餐旅管理學系,1806
009352,009,高齡健康與運動科學學士學位學程,0412
009362,009,建築學系,0802
009372,009,工業設計學系(A組),0805
009382,009,工業設計學系(B組),0805
009392,009,景觀學系,0804
009402,009,法律學系,1501
009412,009,國際學院國際經營管理學位學程,1607
009422,009,永續科學與管理學士學位學程,0706
009432,009,音樂學系(演奏唱組),0902
009442,009,音樂學系(音樂治療組),0902
009452,009,美術學系,0901
011012,011,中國文學系甲組(一般組),1301
011022,011,中國文學系乙組(華語文教學組),1309
011032,011,外國語文學系,1201
011042,011,人文社會學院學士班,1999
011052,011,教育與學習科技學系,1407
011062,011,教育與學習科技學系(公費生),1407
011072,011,幼兒教育學系,1406
011082,011,教育心理與諮商學系,1404
011092,011,教育心理與諮商學系(公費生),1404
011102,011,特殊教育學系,1408
011112,011,英語教學系,1202
011122,011,竹師教育學院學士班,1407
011132,011,環境與文化資源學系,0704
011142,011,經濟學系,1707
011152,011,科技管理學院學士班,1600
011162,011,計量財務金融學系,1703
011172,011,數學系甲組(數學組),0301
011182,011,數學系乙組(應用數學組),0301
011192,011,物理學系物理組(甲組一般組),0303
011202,011,物理學系物理組(乙組天文物理組),0303
011212,011,物理學系光電物理組,0202
011222,011,化學系,0302
011232,011,理學院學士班,1901
011242,011,生醫工程與環境科學系,0411
011252,011,工程與系統科學系甲組(低碳綠能組),0205
011262,011,工程與系統科學系乙組(智慧奈米系統組),0205
011272,011,原子科學院學士班,1901
011282,011,化學工程學系,0210
011292,011,動力機械工程學系,0206
011302,011,材料科學工程學系,0211
011312,011,工業工程與工程管理學系,0214
011322,011,工學院學士班,1901
011332,011,電機工程學系甲組,0201
011342,011,電機工程學系乙組,0201
011352,011,資訊工程學系甲組(電子資訊組),0101
011362,011,資訊工程學系乙組(資訊工程組),0101
011372,011,資訊工程學系丙組(人工智慧組),0101
011382,011,資訊工程學系(APCS組),0101
011392,011,資訊工程學系(資安組),0101
011402,011,電機資訊學院學士班,0101
011412,011,生命科學系,0504
011422,011,醫學科學系,0504
011432,011,生命科學暨醫學院學士班,1901
011442,011,清華學院學士班甲組(不分系招生–創新設計),1901
011452,011,清華學院學士班乙組(青年儲蓄帳戶組),1901
011462,011,旭日招生甲組(人文、教育),1901
011472,011,旭日招生乙組(科管),1901
011482,011,旭日招生丙組(理工、原科、生科),1901
011492,011,旭日招生丁組(電資院),1901
011502,011,運動科學系,1801
011512,011,運動科學系(公費生),1801
011522,011,藝術學院學士班(科技藝術組),0904
011532,011,藝術學院學士班(音樂組),0902
011542,011,藝術學院學士班(創意媒體實踐組),0904
011552,011,音樂學系,0902
011562,011,藝術與設計學系創作組,0904
011572,011,藝術與設計學系設計組,0904
012012,012,牙醫學系,0403
012022,012,醫學系,0401
012032,012,中醫學系甲組,0402
012042,012,中醫學系乙組,0402
012052,012,藥學系,0409
012062,012,護理學系,0406
012072,012,醫學檢驗生物技術學系,0407
012082,012,營養學系,0410
012092,012,物理治療學系,0404
012102,012,生物科技學系,0503
012112,012,運動醫學系,1801
012122,012,中國藥學暨中藥資源學系,0402
012132,012,藥用化妝品學系,0413
012142,012,生物醫學影像暨放射科學學系,0408
012152,012,公共衛生學院大一不分系,1901
012162,012,生物醫學工程學系,0411
012172,012,醫療資訊學系,0101
013012,013,電機工程學系甲組(電資國際組),0201
013022,013,電機工程學系乙組(電機工程組),0201
013032,013,電機工程學系丙組(醫學電資組),0201
013042,013,光電工程學系甲組(智慧系統組),0202
013052,013,光電工程學系乙組(半導體光電組),0202
013062,013,資訊工程學系(甲組),0101
013072,013,資訊工程學系(乙組),0101
013082,013,資訊工程學系(APCS組),0101
013092,013,資訊工程學系(資安組),0101
013102,013,半導體工程學系固態電子組,0203
013112,013,半導體工程學系奈米科學組,0203
013122,013,材料科學與工程學系,0211
013132,013,機械工程學系,0206
013142,013,土木工程學系甲組(科技暨基礎建設永續發展組),0207
013152,013,土木工程學系乙組(科技暨基礎建設永續發展國際組),0207
013162,013,理學院科學學士學位學程(乙組),1901
013172,013,理學院科學學士學位學程(丙組),1901
013182,013,電子物理學系光電與奈米科學組,0202
013192,013,電子物理學系電子物理組,0303
013202,013,應用化學系,0302
013212,013,應用數學系,0301
013222,013,生物科技學系(甲組),0503
013232,013,生物科技學系(乙組),0503
013242,013,資訊管理與財務金融學系資訊管理組,1602
013252,013,資訊管理與財務金融學系財務金融組,1703
013262,013,管理科學系,1605
013272,013,運輸與物流管理學系,1607
013282,013,工業工程與管理學系,0214
013292,013,外國語文學系甲組(跨域人文組),1201
013302,013,外國語文學系乙組(語言科學組),1201
013312,013,傳播與科技學系,1102
013322,013,人文社會學系,1300
013332,013,屯蒙-電機資訊組,0101
013342,013,屯蒙-工程組,0200
013352,013,屯蒙-理學生物科技組,0504
013362,013,屯蒙-管理組,1600
013372,013,屯蒙-人文社會組,
013382,013,屯蒙-醫學組,0401
013392,013,屯蒙-牙醫組,0403
013402,013,屯蒙-醫事證照組,0407
013412,013,屯蒙-生醫科學組,0504
013422,013,醫學系醫師組,0401
013432,013,醫學系醫師科學家組,0401
013442,013,醫學系醫師工程師組,0401
013452,013,醫學系(公費生),0401
013462,013,牙醫學系,0403
013472,013,醫學生物技術暨檢驗學系(生技及檢驗醫學組),0407
013482,013,醫學生物技術暨檢驗學系(資訊及精準醫學組),0407
013492,013,生物醫學影像暨放射科學系,0408
013502,013,護理學系,0406
013512,013,物理治療暨輔助科技學系,0404
013522,013,生命科學系暨基因體科學研究所(生物醫學科學組),0504
