univ_name,department,academic_cluster,category,category_id
國立臺北大學,電機工程學系,工程學群,機械工程學類,0206
國立臺南大學,電機工程學系,工程學群,機械工程學類,0206
國立臺灣大學,機械工程學系,工程學群,機械工程學類,0206
國立臺灣大學,生物機電工程學系,工程學群,機械工程學類,0206
國立臺灣大學,電機工程學系,工程學群,機械工程學類,0206
國立臺灣師範大學,機電工程學系,工程學群,機械工程學類,0206
國立臺灣師範大學,車輛與能源工程學士學位學程,工程學群,機械工程學類,0206
國立臺灣師範大學,電機工程學系,工程學群,機械工程學類,0206
國立臺灣海洋大學,機械與機電工程學系,工程學群,機械工程學類,0206
國立臺灣海洋大學,電機工程學系,工程學群,機械工程學類,0206
國立陽明交通大學,機械工程學系,工程學群,機械工程學類,0206
國立陽明交通大學,百川學士學位學程,工程學群,機械工程學類,0206
國立陽明交通大學,電機工程學系,工程學群,機械工程學類,0206
